Ticker,Annoucement Date,startdate,enddate,Actual,Estimate,Surprise,Group
DCI,2017-03-01,2016-09-07T16:00:00,2017-08-21T16:00:00,0.35,0.314,11.5,BEAT
COST,2017-03-02,2016-09-08T16:00:00,2017-08-22T16:00:00,1.17,1.351,-13.5,MISS
GWRE,2017-03-02,2016-09-08T16:00:00,2017-08-22T16:00:00,0.28,0.142,97.2,BEAT
THO,2017-03-06,2016-09-12T16:00:00,2017-08-24T16:00:00,1.23,1.216,1,MEET
CMD,2017-03-09,2016-09-15T16:00:00,2017-08-29T16:00:00,0.52,0.497,4.6,MEET
MTN,2017-03-10,2016-09-16T16:00:00,2017-08-30T16:00:00,3.67,3.396,8,BEAT
JBL,2017-03-15,2016-09-21T16:00:00,2017-09-05T16:00:00,0.48,0.464,3.4,MEET
ACN,2017-03-23,2016-09-29T16:00:00,2017-09-13T16:00:00,1.33,1.299,2.4,MEET
MU,2017-03-23,2016-09-29T16:00:00,2017-09-13T16:00:00,0.9,0.864,4.2,MEET
FDS,2017-03-28,2016-10-04T16:00:00,2017-09-18T16:00:00,1.81,1.797,0.7,MISS
AYI,2017-04-04,2016-10-11T16:00:00,2017-09-25T16:00:00,1.77,1.834,-3.5,MISS
WBA,2017-04-05,2016-10-12T16:00:00,2017-09-26T16:00:00,1.36,1.359,0.1,MISS
MSM,2017-04-06,2016-10-13T16:00:00,2017-09-27T16:00:00,0.94,0.897,4.4,MEET
AMTD,2017-04-19,2016-10-24T16:00:00,2017-10-06T16:00:00,0.4,0.407,-0.8,MISS
PTC,2017-04-19,2016-10-24T16:00:00,2017-10-06T16:00:00,0.3,0.283,6,MEET
QCOM,2017-04-19,2016-10-24T16:00:00,2017-10-06T16:00:00,1.34,1.185,13.1,BEAT
DHI,2017-04-20,2016-10-26T16:00:00,2017-10-10T16:00:00,0.6,0.591,2.4,MEET
V,2017-04-20,2016-10-26T16:00:00,2017-10-10T16:00:00,0.86,0.79,8.9,BEAT
ASH,2017-04-25,2016-10-31T16:00:00,2017-10-13T16:00:00,1.71,1.611,6.1,MEET
VVV,2017-04-25,2016-10-31T16:00:00,2017-10-13T16:00:00,0.37,0.333,11.1,BEAT
WRK,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,0.54,0.461,17.1,BEAT
OSK,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,0.76,0.742,2.4,MEET
ROK,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,1.55,1.402,10.6,BEAT
VAR,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,0.89,0.896,-0.7,MISS
FFIV,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,1.95,1.971,-1.1,MISS
DLB,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,0.49,0.5,-2,MISS
RJF,2017-04-26,2016-11-01T16:00:00,2017-10-16T16:00:00,1.28,1.136,12.7,BEAT
APD,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,1.43,1.378,3.8,MEET
HP,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,-0.47,-0.407,-14.6,MISS
JCI,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,0.5,0.494,1.2,MEET
SBUX,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,0.45,0.448,0.4,MISS
FICO,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,1.05,1.127,-6.8,MISS
SWKS,2017-04-27,2016-11-02T16:00:00,2017-10-17T16:00:00,1.45,1.401,3.5,MEET
HRC,2017-04-28,2016-11-03T16:00:00,2017-10-18T16:00:00,0.88,0.788,11.7,BEAT
ADNT,2017-04-28,2016-11-03T16:00:00,2017-10-18T16:00:00,2.5,2.408,3.8,MEET
BEN,2017-04-28,2016-11-03T16:00:00,2017-10-18T16:00:00,0.74,0.672,10.1,BEAT
TFSL,2017-04-28,2016-11-03T16:00:00,2017-10-18T16:00:00,0.08,0.07,14.3,BEAT
CBT,2017-05-01,2016-11-04T16:00:00,2017-10-19T16:00:00,0.87,0.854,1.9,MEET
UGI,2017-05-01,2016-11-04T16:00:00,2017-10-19T16:00:00,1.31,1.248,5,MEET
BDX,2017-05-02,2016-11-07T16:00:00,2017-10-20T16:00:00,2.3,2.233,3,MEET
VSM,2017-05-02,2016-11-07T16:00:00,2017-10-20T16:00:00,0.44,0.43,2.3,MEET
EMR,2017-05-02,2016-11-07T16:00:00,2017-10-20T16:00:00,0.58,0.581,-0.2,MISS
SMG,2017-05-02,2016-11-07T16:00:00,2017-10-20T16:00:00,2.78,2.904,-4.3,MISS
AAPL,2017-05-02,2016-11-07T16:00:00,2017-10-20T16:00:00,2.1,2.022,3.9,MEET
ENR,2017-05-03,2016-11-08T16:00:00,2017-10-23T16:00:00,0.5,0.339,47.5,BEAT
BERY,2017-05-03,2016-11-08T16:00:00,2017-10-23T16:00:00,0.79,0.651,21.4,BEAT
ATO,2017-05-03,2016-11-08T16:00:00,2017-10-23T16:00:00,1.55,1.425,8.8,BEAT
ABC,2017-05-04,2016-11-09T16:00:00,2017-10-24T16:00:00,1.77,1.679,5.4,MEET
VIAB,2017-05-04,2016-11-09T16:00:00,2017-10-24T16:00:00,0.79,0.599,31.9,BEAT
NFG,2017-05-04,2016-11-09T16:00:00,2017-10-24T16:00:00,1.04,1.048,-0.8,MISS
TSN,2017-05-08,2016-11-11T16:00:00,2017-10-26T16:00:00,1.01,1.024,-1.4,MISS
POST,2017-05-08,2016-11-11T16:00:00,2017-10-26T16:00:00,0.55,0.579,-5,MISS
ARMK,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,0.45,0.426,5.6,MEET
JEC,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,0.78,0.718,8.6,BEAT
ACM,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,0.89,0.608,46.4,BEAT
TDG,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,3.02,3.005,0.5,MISS
DOX,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,0.94,0.936,0.4,MISS
NUAN,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,0.32,0.381,-16,MISS
DIS,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,1.5,1.411,6.4,MEET
COHR,2017-05-09,2016-11-14T16:00:00,2017-10-27T16:00:00,2.91,2.445,19,BEAT
HOLX,2017-05-10,2016-11-15T16:00:00,2017-10-30T16:00:00,0.5,0.461,8.5,BEAT
SNPS,2017-05-17,2016-11-22T16:00:00,2017-11-06T16:00:00,0.88,0.858,2.6,MEET
AMAT,2017-05-18,2016-11-23T16:00:00,2017-11-07T16:00:00,0.79,0.765,3.3,MEET
DE,2017-05-19,2016-11-25T16:00:00,2017-11-08T16:00:00,2.15,1.627,32.4,BEAT
A,2017-05-22,2016-11-28T16:00:00,2017-11-09T16:00:00,0.58,0.484,19.8,BEAT
NDSN,2017-05-22,2016-11-28T16:00:00,2017-11-09T16:00:00,1.35,1.306,3.4,MEET
TOL,2017-05-23,2016-11-29T16:00:00,2017-11-10T16:00:00,0.74,0.624,19.1,BEAT
HEI,2017-05-23,2016-11-29T16:00:00,2017-11-10T16:00:00,0.34,0.323,5,MEET
EV,2017-05-24,2016-11-30T16:00:00,2017-11-13T16:00:00,0.62,0.591,4.9,MEET
HPQ,2017-05-24,2016-11-30T16:00:00,2017-11-13T16:00:00,0.4,0.389,2.8,MEET
HRL,2017-05-25,2016-12-01T16:00:00,2017-11-14T16:00:00,0.39,0.399,-2,MISS
TTC,2017-05-25,2016-12-01T16:00:00,2017-11-14T16:00:00,1.08,1.037,4.5,MEET
ADI,2017-05-31,2016-12-06T16:00:00,2017-11-17T16:00:00,1.03,0.844,22,BEAT
